Attacker No.,Database,Time Entered,Time Spent (S),Commands Run,Modification Attempts,Filename,Database (Avgs),Total # Attackers,# Relevant Attackers,Avg Time Connected,Avg Commands Run,Avg File Modifications
167,3,2022-10-21 01:14:09.152,0,0,0,2022-10-21-1443_DATABASE_3_log,,,,,,
168,3,2022-10-21 01:14:09.152,0.469,0,0,2022-10-21-1445_DATABASE_3_log,,,,,,
169,1,2022-10-21 01:14:11.161,0.47,0,0,2022-10-21-1447_DATABASE_1_log,,,,,,
170,4,2022-10-21 01:14:15.034,0.632,0,0,2022-10-21-1505_DATABASE_4_log,,,,,,
171,1,2022-10-21 01:14:25.168,0.633,0,0,2022-10-21-1511_DATABASE_1_log,,,,,,
172,1,2022-10-21 01:14:25.168,0.634,0,0,2022-10-21-1518_DATABASE_1_log,,,,,,
173,2,2022-10-21 01:18:51.023,0.634,0,0,2022-10-21-1518_DATABASE_2_log,,,,,,
174,1,2022-10-21 01:18:51.027,0.635,0,0,2022-10-21-1521_DATABASE_1_log,,,,,,
175,2,2022-10-21 01:18:51.045,0.646,0,0,2022-10-21-1556_DATABASE_2_log,,,,,,
176,2,2022-10-21 01:18:51.045,0.647,0,0,2022-10-21-1557_DATABASE_2_log,,,,,,
177,3,2022-10-21 01:18:51.045,0.65,0,0,2022-10-21-1558_DATABASE_3_log,,,,,,
178,3,2022-10-21 01:18:51.047,0.652,0,0,2022-10-21-1559_DATABASE_3_log,,,,,,
179,1,2022-10-21 01:18:51.047,0.659,0,0,2022-10-21-1607_DATABASE_1_log,,,,,,
180,2,2022-10-21 01:18:51.047,0.666,0,0,2022-10-21-1623_DATABASE_2_log,,,,,,
181,1,2022-10-21 01:18:51.048,0.667,0,0,2022-10-21-1625_DATABASE_1_log,,,,,,
182,4,2022-10-21 01:18:51.048,0.668,0,0,2022-10-21-1627_DATABASE_4_log,,,,,,
183,1,2022-10-21 01:18:51.049,0.676,0,0,2022-10-21-1643_DATABASE_1_log,,,,,,
184,1,2022-10-21 01:18:51.049,0.677,0,0,2022-10-21-1644_DATABASE_1_log,,,,,,
185,1,2022-10-21 01:18:51.049,0.677,0,0,2022-10-21-1653_DATABASE_1_log,,,,,,
186,3,2022-10-21 01:18:51.050,0.679,0,0,2022-10-21-1709_DATABASE_3_log,,,,,,
187,2,2022-10-21 01:18:51.050,-0.66,0,0,2022-10-21-1727_DATABASE_2_log,,,,,,
188,1,2022-10-21 01:18:51.050,0.051,0,0,2022-10-21-1728_DATABASE_1_log,,,,,,
189,2,2022-10-21 01:18:51.051,-0.731,0,0,2022-10-21-1744_DATABASE_2_log,,,,,,
190,2,2022-10-21 01:18:51.051,0.014,0,0,2022-10-21-1749_DATABASE_2_log,,,,,,
191,1,2022-10-21 01:18:51.051,-0.33,0,0,2022-10-21-1753_DATABASE_1_log,,,,,,
192,2,2022-10-21 01:18:51.052,-0.639,0,0,2022-10-21-1757_DATABASE_2_log,,,,,,
193,2,2022-10-21 01:18:51.052,0.063,0,0,2022-10-21-1804_DATABASE_2_log,,,,,,
194,2,2022-10-21 01:18:51.057,0.026,0,0,2022-10-21-1805_DATABASE_2_log,,,,,,
195,1,2022-10-21 01:18:51.057,0.891,0,0,2022-10-21-1811_DATABASE_1_log,,,,,,
196,1,2022-10-21 01:18:51.059,-0.583,0,0,2022-10-21-1817_DATABASE_1_log,,,,,,
197,2,2022-10-21 01:18:51.060,-0.285,0,0,2022-10-21-1822_DATABASE_2_log,,,,,,
198,4,2022-10-21 01:18:51.070,0.341,0,0,2022-10-21-1834_DATABASE_4_log,,,,,,
199,3,2022-10-21 01:18:51.070,0.036,0,0,2022-10-21-1845_DATABASE_3_log,,,,,,
200,1,2022-10-21 01:18:51.074,0.053,0,0,2022-10-21-1903_DATABASE_1_log,,,,,,
201,2,2022-10-21 01:18:51.075,-0.85,0,0,2022-10-21-1904_DATABASE_2_log,,,,,,
202,2,2022-10-21 01:18:51.075,-0.849,0,0,2022-10-21-1905_DATABASE_2_log,,,,,,
203,4,2022-10-21 01:18:51.075,-0.848,0,0,2022-10-21-1911_DATABASE_4_log,,,,,,
204,2,2022-10-21 01:18:51.076,-0.847,0,0,2022-10-21-1916_DATABASE_2_log,,,,,,
205,2,2022-10-21 01:18:51.077,-0.845,0,0,2022-10-21-1917_DATABASE_2_log,,,,,,
206,4,2022-10-21 01:18:51.080,-0.844,0,0,2022-10-21-1922_DATABASE_4_log,,,,,,
207,4,2022-10-21 01:18:51.574,-0.839,0,0,2022-10-21-1927_DATABASE_4_log,,,,,,
208,1,2022-10-21 01:18:51.742,-0.838,0,0,2022-10-21-1931_DATABASE_1_log,,,,,,
209,3,2022-10-21 01:18:51.745,-0.838,0,0,2022-10-21-1932_DATABASE_3_log,,,,,,
210,2,2022-10-21 01:18:52.514,-0.836,0,0,2022-10-21-1933_DATABASE_2_log,,,,,,
